Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Customer Paid	Customer Currency	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	MX	0	0.003435314669
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		10	100	Song	0	EUR	DE	0	0.047032925472
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		24	100	Song	0	EUR	CH	0	0.006877319338
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	LU	0	0.000024529998
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		28	100	Song	0	EUR	SG	0	0.057357824478
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	BG	0	0.001489639857
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	BR	0	0.002566729753
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	PH	0	0.000511784951
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	FR	0	0.007528479275
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	IS	0	0.003148759697
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	AR	0	0.004655124552
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		31	100	Song	0	EUR	IE	0	0.198418690896
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		5	100	Song	0	EUR	MY	0	0.001947904812
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	TH	0	0.004889274529
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		15	100	Song	0	GBP	GB	0	0.114125735828
